Ensembl.ID	ENTREZ.ID	GeneSymbol	log2FC_ileum	pvalue_ileum	log2FC_rectum	pvalue_rectum
NA	NA	7SK	-0.201273412729265	0.350424768568159	-0.161916258406932	0.434336106715245
ENSG00000268895	503538	A1BG-AS1	0.150956765201027	0.505058519422223	0.226060224512381	0.299914467470739
ENSG00000148584	29974	A1CF	-0.364716126088701	0.0986011872638387	-0.215475826461364	0.306009635018
ENSG00000175899	2	A2M	0.591863480551582	0.00421579038232023	0.0425729444239458	0.829015934292666
ENSG00000245105	144571	A2M-AS1	0.175712330707901	0.388064606118178	-0.0221347235122373	0.909736561781666
ENSG00000128274	53947	A4GALT	0.596060048570653	0.029103002468654	0.57846474764463	0.026642684687591
ENSG00000094914	8086	AAAS	0.0135136004566447	0.793040423467072	0.0385045349656785	0.431841640090922
ENSG00000081760	65985	AACS	0.0642381321488678	0.530572119750921	0.0432537378632286	0.656992904399268
ENSG00000114771	13	AADAC	-0.160939589281791	0.779677379461562	-4.09035709545602	9.75668224565314e-14
ENSG00000109576	51166	AADAT	0.399956593591726	0.00924761482410954	0.0333709944511761	0.813869008836666
NA	NA	AAED1	0.44721675258861	0.00273111080749222	0.2625684493273	0.0663240511122149
ENSG00000103591	79719	AAGAB	0.0290768452850545	0.742170481228557	0.00123322741060235	0.988308013253708
ENSG00000115977	22848	AAK1	-0.141477499419908	0.237692943094196	-0.0584214148384459	0.607717854312248
ENSG00000087884	28971	AAMDC	-0.0938164513333214	0.440046374903404	-0.162125083990182	0.161299275308192
ENSG00000127837	14	AAMP	-0.0421525230614337	0.548882585338411	0.0168930796325249	0.800876601509994
ENSG00000131043	25980	AAR2	0.0165483908038909	0.713643199792773	-0.0552143794813387	0.199028662653347
NA	NA	AARS	0.249928739030756	0.00166003885632985	0.116988582112167	0.12249674513269
ENSG00000124608	57505	AARS2	-0.193552985095132	0.00674390128052767	-0.117337006778304	0.0858974197739827
ENSG00000157426	132949	AASDH	-0.010671941084314	0.863021091167104	0.0212889351938335	0.71747048651512
ENSG00000149313	60496	AASDHPPT	0.00221620341480651	0.968038228901466	-0.0119449688382767	0.821002162848826
ENSG00000008311	10157	AASS	0.410461648896132	0.0110784648077355	0.144209207266521	0.352768415775577
ENSG00000275700	26574	AATF	-0.0584319926497945	0.221116149716968	-0.0538234181843493	0.238061185775503
ENSG00000181409	9625	AATK	-0.405885510540297	0.104285151037326	-0.141384085026496	0.554141737032128
NA	NA	AB019441.29	0.0377289720198418	0.828751870124996	0.0891334280107949	0.589113174990402
ENSG00000183044	18	ABAT	-0.166935566828061	0.371896303678807	-0.20255314681847	0.255909033658335
NA	NA	ABC7-42389800N19.1	-0.318597643597648	0.124405402799817	-0.00829299694405616	0.966561155106649
ENSG00000165029	19	ABCA1	0.588256348426259	0.0016486811060877	0.0139759020982799	0.937444211369989
ENSG00000154263	10349	ABCA10	-0.241439275890208	0.268534462100995	0.0612600663493182	0.769158178898432
ENSG00000251595	79963	ABCA11P	-0.0839654424654047	0.626865121883899	-0.281491977342474	0.078076710642213
ENSG00000144452	26154	ABCA12	2.72905067376041	1.67474714500552e-05	4.40203434075011	2.07422499623232e-14
ENSG00000179869	154664	ABCA13	0.288772841660608	0.253313804365182	0.249650389563309	0.300792771021844
ENSG00000107331	20	ABCA2	-0.317499103075415	0.0323040465322763	-0.128555651367968	0.362529731560422
ENSG00000167972	21	ABCA3	-0.528935174200576	0.000956523982835881	-0.30086261957229	0.0493520849944123
ENSG00000198691	24	ABCA4	0.463904456493048	0.120517699578989	-1.01942568999601	0.000724062561039139
ENSG00000154265	23461	ABCA5	-0.333069129864954	0.0437113546494069	-0.104351745790401	0.507448550908459
ENSG00000154262	23460	ABCA6	-0.166397558373898	0.418294779485874	-0.297966041544786	0.129499862428658
ENSG00000064687	10347	ABCA7	0.018128352659376	0.933632424807849	0.437734406617133	0.0354019146597448
ENSG00000141338	10351	ABCA8	-0.21759162155695	0.515640781234508	-0.638069948674274	0.0453911109284194
ENSG00000154258	10350	ABCA9	0.166756877349013	0.411113650479691	-0.0775596669888047	0.688271717207747
ENSG00000085563	5243	ABCB1	-0.490200932581467	0.0804246800708556	-0.67709218891704	0.0112968120028831
ENSG00000135776	23456	ABCB10	-0.0482084839272003	0.555108194283081	-0.0735291093344588	0.345898209816636
ENSG00000073734	8647	ABCB11	-1.48304371369251	7.72192441309675e-05	-0.45282309620167	0.198889203546869
ENSG00000005471	5244	ABCB4	-0.342005660086588	0.154616873598916	-0.281972891589853	0.22122766047893
ENSG00000131269	22	ABCB7	-0.0896634803139058	0.115398848938006	-0.109236095448272	0.0439363930964976
ENSG00000197150	11194	ABCB8	0.0800164901769503	0.35715234862957	0.154517580203905	0.0620996745061394
ENSG00000150967	23457	ABCB9	-0.100406863967273	0.291370780448597	0.059676648701028	0.515458320859901
ENSG00000103222	4363	ABCC1	0.279827441672354	0.0494039940905753	0.332651565839347	0.0143394439649679
ENSG00000124574	89845	ABCC10	0.0635368846556067	0.258842398791473	0.0999794756750082	0.0635165281830544
ENSG00000243064	150000	ABCC13	-0.219826981472421	0.308488323037702	0.160527667641681	0.435899608768171
ENSG00000023839	1244	ABCC2	-0.554515050287008	0.153546171634148	-2.76144487854337	1.29031798822548e-13
ENSG00000108846	8714	ABCC3	-0.0917018701507834	0.51054692868678	-0.0292031110560522	0.825904213143769
ENSG00000125257	10257	ABCC4	0.332203148250762	0.0104475133376345	-0.267344578734851	0.0303658091470755
ENSG00000114770	10057	ABCC5	-0.0725970766638655	0.527714818182179	0.0429657725546756	0.694447799685096
ENSG00000091262	368	ABCC6	-0.273788154578046	0.16396154410224	-0.0144580719924197	0.938665314887534
ENSG00000256340	653190	ABCC6P1	-0.128228452684018	0.499163079422239	0.184730317581591	0.309749242806653
ENSG00000255277	730013	ABCC6P2	-0.140823013934643	0.457374261936509	-0.189365915408248	0.294421813934783
ENSG00000006071	6833	ABCC8	-0.0341902120723243	0.86618858344132	-0.187204241468931	0.337494136017083
