GeneSymbol	ENTREZ.ID	log2FC_ileum	pvalue_ileum
ABCB11	8647	-2.63687921429206	5.41384988949116e-10
ABHD12B	145447	-3.9105832778914	2.70806903824738e-07
ABLIM2	84448	0.580585110900311	0.019471718056501
ACKR2	1238	-0.677629766894334	0.00219608430581882
ACTL8	81569	-1.51941681630576	0.0013573284181488
ACVRL1	94	-0.617053381310286	0.00418719173909302
ADORA2B	136	-1.05807053263735	0.000860252243982916
AFF2	2334	-1.47018042498069	0.00374745776166202
AGPAT4	56895	-0.652177524188448	0.0239429317879531
AHCYL2	23382	-0.620979724378799	0.00927420571755411
AICDA	57379	-1.45487271019331	0.0249082716039042
AIFM3	150209	-1.45474509577221	1.87591954726559e-05
AK1	203	-1.49311211750894	1.45836828700949e-07
ALDH1L1	10840	0.825886246577505	0.0172145719980019
ALOX12B	242	-0.588518034434597	0.0482079109093508
ALPK2	115701	-1.04550677355892	0.0442006058748128
ANKLE1	126549	-0.964896331855691	0.0264171565911359
ANKRD22	118932	-1.42229936605033	2.54055619026156e-05
AQP8	343	-6.06228961286596	5.16038476374201e-15
AQP9	366	2.35934058260232	0.00167618734603121
ARTN	9048	-3.3928988402665	1.84091371700595e-12
ASAP3	55616	-0.664757612102588	9.69026251156883e-05
ASPG	374569	-0.861154094568435	0.0452124682323595
ATP13A4	84239	-1.21265064867476	7.8353532623143e-05
B3GALT1	8708	-3.48214147802558	8.99318198828644e-12
BACH2	60468	-1.13368110148917	0.0128151207084555
BAMBI	25805	-0.733561084796172	0.00482714674432194
BASP1	10409	-0.723165224028834	0.0497322678994354
BCAS4	55653	-0.944918927021667	0.00934922693832139
BCL6	604	-0.800803012296566	0.00784500827573249
BCL7A	605	-0.691522294721939	0.000340285384204218
BEND5	79656	-0.636735302395969	0.0208554446746812
BHLHE41	79365	-0.651199279236719	0.00846698896639016
BIK	638	-1.01592072191459	9.20049774269243e-05
BMP7	655	-0.859756301236842	0.00164352491162612
BMPER	168667	0.665246066909111	0.0190929571248233
C10orf99	387695	-0.762446626613876	0.0384803497308912
CA1	759	-5.14021003784275	8.07086118285193e-16
CA12	771	-1.10090441279918	0.000102931106105609
CA2	760	-4.65359719169765	6.04253278613273e-19
CA4	762	-1.98965259331931	3.78200816743943e-05
CA7	766	-0.901854948498891	0.0397987153263757
CACNB1	782	-0.665372832464496	0.00582715826915063
CALB1	793	-1.8580804726274	0.0041078679995447
CAMK2B	816	-0.610888913141522	0.0222593137842021
CAMP	820	-0.989990991206949	0.0470102605746278
